surrgain,ev_tdlam_before,meankl,entropy,optimgain,EpLenMean,TimeElapsed,EpisodesSoFar,entloss,TimestepsSoFar,EpRewMean,EpThisIter
0.028481623,0.6189345121383667,0.0069130473,39.688797,0.028481623,17.6,14.874381065368652,1191,0.0,20527,13.743454124134232,1191
0.03256659,0.922084130346775,0.0067187413,39.673065,0.03256659,16.825,28.72451400756836,2366,0.0,40978,12.921481663122805,1175
0.037083484,0.9550710991024971,0.0070061833,39.55056,0.037083484,17.025,42.631601333618164,3496,0.0,61457,13.400066271493495,1130
0.038804516,0.9659801535308361,0.0068139685,39.480934,0.038804516,19.425,56.48061227798462,4601,0.0,81933,12.632555928104475,1105
0.042980086,0.9758076686412096,0.0073330263,39.397095,0.042980086,18.975,70.37127137184143,5705,0.0,102409,14.004244392641311,1104
0.04067836,0.9763649925589561,0.0073410966,39.229507,0.04067836,19.55,85.13937091827393,6798,0.0,122926,13.73003802091236,1093
0.040844716,0.9789673760533333,0.007480661,39.072002,0.040844716,19.8,99.11745762825012,7881,0.0,143397,14.803591758488613,1083
0.041311037,0.9826243966817856,0.007685867,38.863884,0.041311037,19.3,113.03388977050781,8940,0.0,163863,16.164385768836944,1059
0.04294764,0.9837587680667639,0.007956058,38.67758,0.04294764,20.175,126.99727725982666,9993,0.0,184353,15.884677957936182,1053
0.043338086,0.9835316892713308,0.008193903,38.51988,0.043338086,19.425,140.92919969558716,11049,0.0,204827,16.105297147539215,1056
0.042162903,0.9844532813876867,0.008089988,38.351112,0.042162903,21.225,154.86916375160217,12090,0.0,225367,15.761056111279668,1041
0.039850738,0.9822066929191351,0.008134864,38.17842,0.039850738,19.6,168.8530445098877,13115,0.0,245788,16.789449934130737,1025
0.042282768,0.9882350992411375,0.008407782,37.982613,0.042282768,19.375,183.03554844856262,14123,0.0,266226,17.196827172128245,1008
0.04232315,0.9853016687557101,0.0084681865,37.775917,0.04232315,19.375,197.49198985099792,15149,0.0,286680,17.575090540691058,1026
